City,Date,Holiday,Weather,Flavor,Weight
AVIGEDOR,01/01/2021,FALSE,veryCold,chocolate,low
ABU QUREINAT,01/01/2021,FALSE,veryCold,strawberry,low
BAR GIYYORA,01/01/2021,FALSE,veryCold,berries,low
ABBIRIM,01/01/2021,FALSE,veryCold,berries,low
ALUMMOT,01/01/2021,FALSE,veryCold,oreo,low
AMMIAD,01/01/2021,FALSE,veryCold,chocolate,low
AHUZZAM,01/01/2021,FALSE,veryCold,berries,low
AVNE ETAN,02/01/2021,FALSE,veryCold,berries,low
AMMIAD,02/01/2021,FALSE,veryCold,berries,low
AMMIAD,02/01/2021,FALSE,veryCold,vanilla,low
ATERET,02/01/2021,FALSE,veryCold,vanilla,low
ATERET,02/01/2021,FALSE,veryCold,berries,low
ABU QUREINAT,02/01/2021,FALSE,veryCold,strawberry,low
ABU QUREINAT,02/01/2021,FALSE,veryCold,oreo,low
AHUZZAM,02/01/2021,FALSE,veryCold,vanilla,low
ALUMMOT,02/01/2021,FALSE,veryCold,chocolate,low
AZARYA,03/01/2021,FALSE,veryCold,berries,very low
ANIAM,03/01/2021,FALSE,veryCold,strawberry,very low
ABU QUREINAT,03/01/2021,FALSE,veryCold,berries,very low
AMMIAD,03/01/2021,FALSE,veryCold,strawberry,very low
BAR GIYYORA,03/01/2021,FALSE,veryCold,strawberry,very low
ALMAGOR,03/01/2021,FALSE,veryCold,strawberry,very low
ADDERET,03/01/2021,FALSE,veryCold,chocolate,very low
AVTALYON,03/01/2021,FALSE,veryCold,strawberry,very low
AHUZZAM,03/01/2021,FALSE,veryCold,chocolate,very low
AFEQ,03/01/2021,FALSE,veryCold,berries,very low
ASHDOD,04/01/2021,FALSE,veryCold,oreo,very low
AVIVIM,04/01/2021,FALSE,veryCold,strawberry,very low
ALUMMOT,04/01/2021,FALSE,veryCold,strawberry,very low
ATERET,04/01/2021,FALSE,veryCold,vanilla,very low
AMMIAD,05/01/2021,FALSE,veryCold,strawberry,very low
AHUZZAM,05/01/2021,FALSE,veryCold,strawberry,very low
AHUZZAM,05/01/2021,FALSE,veryCold,oreo,very low
ANIAM,05/01/2021,FALSE,veryCold,strawberry,very low
ATERET,05/01/2021,FALSE,veryCold,chocolate,very low
AHUZZAM,05/01/2021,FALSE,veryCold,vanilla,very low
BAR GIYYORA,05/01/2021,FALSE,veryCold,chocolate,very low
ASHDOD,05/01/2021,FALSE,veryCold,strawberry,very low
ASHDOD,06/01/2021,FALSE,veryCold,berries,very low
AHIHUD,06/01/2021,FALSE,veryCold,chocolate,very low
ALUMMOT,06/01/2021,FALSE,veryCold,chocolate,very low
ASHDOT YAAQOV(IHUD),06/01/2021,FALSE,veryCold,strawberry,very low
AHUZZAM,06/01/2021,FALSE,veryCold,vanilla,very low
ALUMMOT,06/01/2021,FALSE,veryCold,berries,very low
AVIEZER,06/01/2021,FALSE,veryCold,oreo,very low
ALMAGOR,06/01/2021,FALSE,veryCold,oreo,very low
ARBEL,06/01/2021,FALSE,veryCold,strawberry,very low
AHUZZAM,06/01/2021,FALSE,veryCold,chocolate,very low
AVIHAYIL,06/01/2021,FALSE,veryCold,berries,very low
AHITUV,06/01/2021,FALSE,veryCold,chocolate,very low
AMIRIM,07/01/2021,FALSE,veryCold,strawberry,low
AHUZZAM,07/01/2021,FALSE,veryCold,chocolate,low
AYANOT,07/01/2021,FALSE,veryCold,vanilla,low
AMIRIM,07/01/2021,FALSE,veryCold,vanilla,low
AHUZZAM,07/01/2021,FALSE,veryCold,oreo,low
ATERET,07/01/2021,FALSE,veryCold,vanilla,low
BAR GIYYORA,07/01/2021,FALSE,veryCold,strawberry,low
AHISAMAKH,08/01/2021,FALSE,veryCold,strawberry,low
AVNE HEFEZ,08/01/2021,FALSE,veryCold,berries,low
AVIGEDOR,09/01/2021,FALSE,veryCold,vanilla,low
AVIEZER,09/01/2021,FALSE,veryCold,strawberry,low
ASHDOT YAAQOV(MEUHAD),09/01/2021,FALSE,veryCold,vanilla,low
AHUZZAM,09/01/2021,FALSE,veryCold,chocolate,low
ASFAR,09/01/2021,FALSE,veryCold,vanilla,low
AZRIQAM,09/01/2021,FALSE,veryCold,vanilla,low
ATERET,09/01/2021,FALSE,veryCold,oreo,low
ALUMMOT,09/01/2021,FALSE,veryCold,strawberry,low
ALMAGOR,10/01/2021,FALSE,veryCold,strawberry,very low
ADAMIT,10/01/2021,FALSE,veryCold,berries,very low
ASHDOD,10/01/2021,FALSE,veryCold,chocolate,very low
ATERET,11/01/2021,FALSE,veryCold,oreo,very low
AFEQ,11/01/2021,FALSE,veryCold,chocolate,very low
ASHERAT,11/01/2021,FALSE,veryCold,vanilla,very low
ABU QUREINAT,11/01/2021,FALSE,veryCold,berries,very low
ALUMMA,12/01/2021,FALSE,veryCold,oreo,very low
ABU QUREINAT,12/01/2021,FALSE,veryCold,strawberry,very low
AMNUN,12/01/2021,FALSE,veryCold,chocolate,very low
ALUMIM,12/01/2021,FALSE,veryCold,berries,very low
ANIAM,12/01/2021,FALSE,veryCold,berries,very low
BAR GIYYORA,12/01/2021,FALSE,veryCold,strawberry,very low
AMMIAD,12/01/2021,FALSE,veryCold,oreo,very low
AMMIAD,13/01/2021,FALSE,veryCold,oreo,very low
ASFAR,13/01/2021,FALSE,veryCold,vanilla,very low
AHUZZAM,13/01/2021,FALSE,veryCold,strawberry,very low
AMMIAD,13/01/2021,FALSE,veryCold,chocolate,very low
AMMIAD,13/01/2021,FALSE,veryCold,vanilla,very low
AMIRIM,13/01/2021,FALSE,veryCold,berries,very low
AHIEZER,13/01/2021,FALSE,veryCold,oreo,very low
ALFE MENASHE,13/01/2021,FALSE,veryCold,chocolate,very low
ANIAM,14/01/2021,FALSE,veryCold,vanilla,low
ALFE MENASHE,14/01/2021,FALSE,veryCold,chocolate,low
ALMAGOR,14/01/2021,FALSE,veryCold,berries,low
ADI,14/01/2021,FALSE,veryCold,chocolate,low
AMMIAD,14/01/2021,FALSE,veryCold,berries,low
AMMIAD,15/01/2021,FALSE,veryCold,berries,low
ABU QUREINAT,15/01/2021,FALSE,veryCold,berries,low
ATERET,15/01/2021,FALSE,veryCold,berries,low
AHUZZAM,15/01/2021,FALSE,veryCold,strawberry,low
ALMAGOR,15/01/2021,FALSE,veryCold,oreo,low
AMMINADAV,15/01/2021,FALSE,veryCold,vanilla,low
AVNE ETAN,15/01/2021,FALSE,veryCold,berries,low
AMMIAD,16/01/2021,FALSE,veryCold,oreo,low
ANIAM,16/01/2021,FALSE,veryCold,oreo,low
AMIRIM,16/01/2021,FALSE,veryCold,berries,low
ALMAGOR,16/01/2021,FALSE,veryCold,strawberry,low
ANIAM,16/01/2021,FALSE,veryCold,berries,low
AYYELET HASHAHAR,16/01/2021,FALSE,veryCold,vanilla,low
ANIAM,16/01/2021,FALSE,veryCold,oreo,low
ATERET,16/01/2021,FALSE,veryCold,strawberry,low
AHIHUD,17/01/2021,FALSE,veryCold,oreo,very low
ABU QUREINAT,17/01/2021,FALSE,veryCold,oreo,very low
ASFAR,17/01/2021,FALSE,veryCold,berries,very low
ARRABE,17/01/2021,FALSE,veryCold,strawberry,very low
AMMIQAM,17/01/2021,FALSE,veryCold,strawberry,very low
ASHDOD,17/01/2021,FALSE,veryCold,chocolate,very low
ATERET,17/01/2021,FALSE,veryCold,chocolate,very low
ASHDOD,17/01/2021,FALSE,veryCold,strawberry,very low
ALUMMOT,17/01/2021,FALSE,veryCold,vanilla,very low
ALUMMOT,17/01/2021,FALSE,veryCold,chocolate,very low
AHUZZAM,18/01/2021,FALSE,veryCold,chocolate,very low
ALMAGOR,18/01/2021,FALSE,veryCold,berries,very low
AHUZZAM,18/01/2021,FALSE,veryCold,vanilla,very low
ATERET,18/01/2021,FALSE,veryCold,berries,very low
ALMAGOR,18/01/2021,FALSE,veryCold,oreo,very low
AMMIAD,18/01/2021,FALSE,veryCold,strawberry,very low
AMIRIM,18/01/2021,FALSE,veryCold,chocolate,very low
ARIEL,18/01/2021,FALSE,veryCold,vanilla,very low
ASHDOT YAAQOV(MEUHAD),18/01/2021,FALSE,veryCold,vanilla,very low
ARAMSHA,18/01/2021,FALSE,veryCold,vanilla,very low
AHIHUD,18/01/2021,FALSE,veryCold,vanilla,very low
BAHAN,18/01/2021,FALSE,veryCold,oreo,very low
ANIAM,18/01/2021,FALSE,veryCold,strawberry,very low
BAR GIYYORA,18/01/2021,FALSE,veryCold,vanilla,very low
ABU QUREINAT,18/01/2021,FALSE,veryCold,berries,very low
AMIRIM,19/01/2021,FALSE,veryCold,berries,very low
ASHDOD,19/01/2021,FALSE,veryCold,oreo,very low
BAR GIYYORA,19/01/2021,FALSE,veryCold,strawberry,very low
AMIRIM,19/01/2021,FALSE,veryCold,chocolate,very low
ASHDOD,19/01/2021,FALSE,veryCold,strawberry,very low
BAHAN,19/01/2021,FALSE,veryCold,berries,very low
ATERET,19/01/2021,FALSE,veryCold,chocolate,very low
BAR GIYYORA,19/01/2021,FALSE,veryCold,oreo,very low
AMMIAD,19/01/2021,FALSE,veryCold,oreo,very low
ADDERET,20/01/2021,FALSE,veryCold,strawberry,very low
AMAZYA,20/01/2021,FALSE,veryCold,oreo,very low
ANIAM,20/01/2021,FALSE,veryCold,strawberry,very low
ASHDOD,20/01/2021,FALSE,veryCold,strawberry,very low
ARBEL,20/01/2021,FALSE,veryCold,strawberry,very low
BALFURYA,20/01/2021,FALSE,veryCold,vanilla,very low
BAR GIYYORA,21/01/2021,FALSE,veryCold,berries,low
AHUZZAM,21/01/2021,FALSE,veryCold,berries,low
BAR GIYYORA,21/01/2021,FALSE,veryCold,strawberry,low
AVNE HEFEZ,22/01/2021,FALSE,veryCold,vanilla,low
AFIQIM,22/01/2021,FALSE,veryCold,strawberry,low
AHUZZAM,22/01/2021,FALSE,veryCold,strawberry,low
ALUMMOT,23/01/2021,FALSE,veryCold,vanilla,low
AVITAL,23/01/2021,FALSE,veryCold,strawberry,low
ATERET,23/01/2021,FALSE,veryCold,chocolate,low
AMMIAD,23/01/2021,FALSE,veryCold,strawberry,low
ASHERAT,23/01/2021,FALSE,veryCold,oreo,low
ALUMMOT,23/01/2021,FALSE,veryCold,strawberry,low
ABU QUREINAT,23/01/2021,FALSE,veryCold,chocolate,low
AZRIQAM,23/01/2021,FALSE,veryCold,oreo,low
ALMAGOR,24/01/2021,FALSE,veryCold,vanilla,very low
ATERET,24/01/2021,FALSE,veryCold,vanilla,very low
AVENAT,24/01/2021,FALSE,veryCold,oreo,very low
AMIRIM,24/01/2021,FALSE,veryCold,chocolate,very low
ADANIM,24/01/2021,FALSE,veryCold,strawberry,very low
ALUMMOT,24/01/2021,FALSE,veryCold,berries,very low
AZRIEL,24/01/2021,FALSE,veryCold,berries,very low
ALUMMOT,24/01/2021,FALSE,veryCold,oreo,very low
ANIAM,24/01/2021,FALSE,veryCold,oreo,very low
ASHDOD,24/01/2021,FALSE,veryCold,strawberry,very low
AYANOT,24/01/2021,FALSE,veryCold,strawberry,very low
ATERET,24/01/2021,FALSE,veryCold,strawberry,very low
ABU QUREINAT,24/01/2021,FALSE,veryCold,vanilla,very low
ANIAM,25/01/2021,FALSE,veryCold,strawberry,very low
AVSHALOM,25/01/2021,FALSE,veryCold,oreo,very low
AHUZZAM,25/01/2021,FALSE,veryCold,vanilla,very low
AMIRIM,25/01/2021,FALSE,veryCold,chocolate,very low
ABU GHOSH,25/01/2021,FALSE,veryCold,vanilla,very low
AHUZZAM,25/01/2021,FALSE,veryCold,vanilla,very low
AMIRIM,25/01/2021,FALSE,veryCold,oreo,very low
ANIAM,25/01/2021,FALSE,veryCold,chocolate,very low
ALUMMOT,25/01/2021,FALSE,veryCold,strawberry,very low
ALMAGOR,26/01/2021,FALSE,veryCold,vanilla,very low
AMMIAD,26/01/2021,FALSE,veryCold,vanilla,very low
ANIAM,26/01/2021,FALSE,veryCold,vanilla,very low
AMIRIM,26/01/2021,FALSE,veryCold,strawberry,very low
AMMIAD,26/01/2021,FALSE,veryCold,chocolate,very low
AMMIAD,26/01/2021,FALSE,veryCold,berries,very low
AHUZZAM,26/01/2021,FALSE,veryCold,strawberry,very low
AMMIAD,26/01/2021,FALSE,veryCold,chocolate,very low
ASHDOD,26/01/2021,FALSE,veryCold,strawberry,very low
AVENAT,27/01/2021,FALSE,veryCold,chocolate,very low
ATERET,27/01/2021,FALSE,veryCold,vanilla,very low
ARUGOT,27/01/2021,FALSE,veryCold,vanilla,very low
AMMIAD,27/01/2021,FALSE,veryCold,oreo,very low
AHUZZAM,27/01/2021,FALSE,veryCold,vanilla,very low
AFEQ,27/01/2021,FALSE,veryCold,berries,very low
ATERET,27/01/2021,FALSE,veryCold,strawberry,very low
AHUZZAM,27/01/2021,FALSE,veryCold,oreo,very low
ALMAGOR,28/01/2021,FALSE,veryCold,oreo,low
ARBEL,28/01/2021,FALSE,veryCold,strawberry,low
AGUR,28/01/2021,FALSE,veryCold,chocolate,low
ABU SINAN,28/01/2021,FALSE,veryCold,berries,low
BARAM,28/01/2021,FALSE,veryCold,berries,low
ALMAGOR,28/01/2021,FALSE,veryCold,vanilla,low
ALUMMOT,29/01/2021,FALSE,veryCold,oreo,low
AHUZZAT BARAQ,29/01/2021,FALSE,veryCold,oreo,low
ASHDOT YAAQOV(MEUHAD),29/01/2021,FALSE,veryCold,berries,low
ALMAGOR,29/01/2021,FALSE,veryCold,oreo,low
AMNUN,29/01/2021,FALSE,veryCold,strawberry,low
AHUZZAM,29/01/2021,FALSE,veryCold,berries,low
ASHERAT,29/01/2021,FALSE,veryCold,strawberry,low
ANIAM,29/01/2021,FALSE,veryCold,berries,low
ABU QUREINAT,29/01/2021,FALSE,veryCold,oreo,low
AVIEL,30/01/2021,FALSE,veryCold,oreo,low
AHUZZAM,30/01/2021,FALSE,veryCold,oreo,low
AMMIAD,30/01/2021,FALSE,veryCold,berries,low
AMIRIM,30/01/2021,FALSE,veryCold,oreo,low
BAR YOHAY,30/01/2021,FALSE,veryCold,berries,low
ANIAM,30/01/2021,FALSE,veryCold,strawberry,low
ALMON,30/01/2021,FALSE,veryCold,berries,low
ASHDOD,30/01/2021,FALSE,veryCold,berries,low
ALMAGOR,31/01/2021,FALSE,veryCold,strawberry,very low
AHUZZAM,31/01/2021,FALSE,veryCold,chocolate,very low
ALLONIM,31/01/2021,FALSE,veryCold,chocolate,very low
BAR YOHAY,01/02/2021,FALSE,veryCold,oreo,very low
ANIAM,01/02/2021,FALSE,veryCold,strawberry,very low
ATERET,01/02/2021,FALSE,veryCold,berries,very low
AMIRIM,01/02/2021,FALSE,veryCold,oreo,very low
AMIRIM,01/02/2021,FALSE,veryCold,oreo,very low
AMIR,01/02/2021,FALSE,veryCold,strawberry,very low
ASHDOD,01/02/2021,FALSE,veryCold,berries,very low
AVIEL,01/02/2021,FALSE,veryCold,strawberry,very low
ASERET,01/02/2021,FALSE,veryCold,berries,very low
BAR GIYYORA,01/02/2021,FALSE,veryCold,oreo,very low
ABU QUREINAT,01/02/2021,FALSE,veryCold,chocolate,very low
AHUZZAM,02/02/2021,FALSE,veryCold,strawberry,very low
AMMIAD,02/02/2021,FALSE,veryCold,oreo,very low
AMMIAD,02/02/2021,FALSE,veryCold,oreo,very low
AVIGEDOR,02/02/2021,FALSE,veryCold,berries,very low
ASHALIM,02/02/2021,FALSE,veryCold,berries,very low
ABU QUREINAT,02/02/2021,FALSE,veryCold,berries,very low
AHAWA,02/02/2021,FALSE,veryCold,vanilla,very low
BAR GIYYORA,02/02/2021,FALSE,veryCold,chocolate,very low
ANIAM,03/02/2021,FALSE,veryCold,strawberry,very low
ATERET,03/02/2021,FALSE,veryCold,strawberry,very low
ARRABE,03/02/2021,FALSE,veryCold,strawberry,very low
AMIRIM,03/02/2021,FALSE,veryCold,chocolate,very low
ALLONIM,03/02/2021,FALSE,veryCold,berries,very low
AMMIAD,04/02/2021,FALSE,veryCold,oreo,low
AMMIAD,04/02/2021,FALSE,veryCold,oreo,low
ASHDOD,04/02/2021,FALSE,veryCold,chocolate,low
ALUMMOT,04/02/2021,FALSE,veryCold,berries,low
AZARYA,04/02/2021,FALSE,veryCold,strawberry,low
AMQA,04/02/2021,FALSE,veryCold,strawberry,low
ATERET,05/02/2021,FALSE,veryCold,chocolate,low
ALMAGOR,05/02/2021,FALSE,veryCold,vanilla,low
BAR GIYYORA,05/02/2021,FALSE,veryCold,berries,low
ASFAR,05/02/2021,FALSE,veryCold,vanilla,low
AMMIAD,05/02/2021,FALSE,veryCold,berries,low
ABU TULUL,05/02/2021,FALSE,veryCold,oreo,low
AHIEZER,05/02/2021,FALSE,veryCold,berries,low
BAR GIYYORA,05/02/2021,FALSE,veryCold,chocolate,low
AMIRIM,06/02/2021,FALSE,veryCold,strawberry,low
ALMAGOR,06/02/2021,FALSE,veryCold,vanilla,low
AMIRIM,06/02/2021,FALSE,veryCold,vanilla,low
AMMIAD,06/02/2021,FALSE,veryCold,vanilla,low
ATERET,06/02/2021,FALSE,veryCold,berries,low
ATERET,06/02/2021,FALSE,veryCold,chocolate,low
ALMA,06/02/2021,FALSE,veryCold,oreo,low
ASHQELON,06/02/2021,FALSE,veryCold,chocolate,low
AHITUV,07/02/2021,FALSE,veryCold,oreo,very low
AVTALYON,07/02/2021,FALSE,veryCold,berries,very low
ANIAM,07/02/2021,FALSE,veryCold,strawberry,very low
ADI,07/02/2021,FALSE,veryCold,strawberry,very low
ADDIRIM,07/02/2021,FALSE,veryCold,berries,very low
AZRIEL,07/02/2021,FALSE,veryCold,oreo,very low
ARAMSHA,07/02/2021,FALSE,veryCold,vanilla,very low
AMMIAD,07/02/2021,FALSE,veryCold,berries,very low
AHUZZAM,07/02/2021,FALSE,veryCold,berries,very low
AHUZZAM,08/02/2021,FALSE,veryCold,berries,very low
BAR GIYYORA,08/02/2021,FALSE,veryCold,berries,very low
ALMAGOR,08/02/2021,FALSE,veryCold,oreo,very low
ALMAGOR,08/02/2021,FALSE,veryCold,oreo,very low
AHUZZAM,09/02/2021,FALSE,veryCold,chocolate,very low
ALMAGOR,09/02/2021,FALSE,veryCold,chocolate,very low
BAR GIYYORA,09/02/2021,FALSE,veryCold,vanilla,very low
BALFURYA,09/02/2021,FALSE,veryCold,oreo,very low
ALE ZAHAV,09/02/2021,FALSE,veryCold,chocolate,very low
AHUZZAM,09/02/2021,FALSE,veryCold,oreo,very low
ALMAGOR,09/02/2021,FALSE,veryCold,oreo,very low
AZARYA,09/02/2021,FALSE,veryCold,chocolate,very low
ANIAM,09/02/2021,FALSE,veryCold,oreo,very low
ALE ZAHAV,09/02/2021,FALSE,veryCold,chocolate,very low
ALE ZAHAV,10/02/2021,FALSE,veryCold,strawberry,very low
ALMAGOR,10/02/2021,FALSE,veryCold,chocolate,very low
ABU QUREINAT,10/02/2021,FALSE,veryCold,berries,very low
AMIRIM,10/02/2021,FALSE,veryCold,chocolate,very low
AHUZZAM,10/02/2021,FALSE,veryCold,strawberry,very low
ALMOG,11/02/2021,FALSE,veryCold,berries,low
BAR GIYYORA,11/02/2021,FALSE,veryCold,oreo,low
AMIRIM,11/02/2021,FALSE,veryCold,vanilla,low
ALMAGOR,11/02/2021,FALSE,veryCold,vanilla,low
ABU QUREINAT,11/02/2021,FALSE,veryCold,oreo,low
AVNE HEFEZ,11/02/2021,FALSE,veryCold,berries,low
AVDON,11/02/2021,FALSE,veryCold,oreo,low
ATERET,11/02/2021,FALSE,veryCold,oreo,low
AVIEL,11/02/2021,FALSE,veryCold,strawberry,low
AHUZZAM,12/02/2021,FALSE,veryCold,chocolate,low
AMMIAD,12/02/2021,FALSE,veryCold,berries,low
ALUMIM,12/02/2021,FALSE,veryCold,strawberry,low
ALMAGOR,12/02/2021,FALSE,veryCold,berries,low
ALMAGOR,12/02/2021,FALSE,veryCold,strawberry,low
ALMAGOR,12/02/2021,FALSE,veryCold,chocolate,low
ATERET,12/02/2021,FALSE,veryCold,oreo,low
BAQA AL-GHARBIYYE,12/02/2021,FALSE,veryCold,vanilla,low
AHUZZAM,12/02/2021,FALSE,veryCold,berries,low
BAR GIYYORA,12/02/2021,FALSE,veryCold,oreo,low
ALUMMOT,13/02/2021,FALSE,veryCold,strawberry,low
ALMAGOR,13/02/2021,FALSE,veryCold,berries,low
ALMAGOR,13/02/2021,FALSE,veryCold,berries,low
AHUZZAM,13/02/2021,FALSE,veryCold,oreo,low
ALMA,13/02/2021,FALSE,veryCold,chocolate,low
ATERET,13/02/2021,FALSE,veryCold,chocolate,low
AMMIAD,13/02/2021,FALSE,veryCold,strawberry,low
AMMIAD,13/02/2021,FALSE,veryCold,vanilla,low
AMMIOZ,14/02/2021,FALSE,veryCold,vanilla,very low
ANIAM,14/02/2021,FALSE,veryCold,oreo,very low
BAHAN,14/02/2021,FALSE,veryCold,strawberry,very low
ALLON SHEVUT,14/02/2021,FALSE,veryCold,vanilla,very low
ASHDOD,14/02/2021,FALSE,veryCold,strawberry,very low
BAHAN,14/02/2021,FALSE,veryCold,strawberry,very low
AVENAT,14/02/2021,FALSE,veryCold,strawberry,very low
BAR GIYYORA,14/02/2021,FALSE,veryCold,oreo,very low
ASHDOD,14/02/2021,FALSE,veryCold,vanilla,very low
ABU QUREINAT,14/02/2021,FALSE,veryCold,vanilla,very low
ANIAM,14/02/2021,FALSE,veryCold,chocolate,very low
ASHDOT YAAQOV(MEUHAD),14/02/2021,FALSE,veryCold,berries,very low
AMMIAD,15/02/2021,FALSE,veryCold,berries,very low
ASHDOD,15/02/2021,FALSE,veryCold,chocolate,very low
ASHDOD,15/02/2021,FALSE,veryCold,chocolate,very low
ABU SINAN,15/02/2021,FALSE,veryCold,vanilla,very low
ASHDOD,15/02/2021,FALSE,veryCold,oreo,very low
