City,Date,Holiday,Weather,Flavor,Weight
AMMI'AD,01/01/2021,FALSE,veryCold,strawberry,very low
ALMAGOR,01/01/2021,FALSE,veryCold,chocolate,very low
AZRI'EL,01/01/2021,FALSE,veryCold,oreo,very low
ASHDOD,01/01/2021,FALSE,veryCold,vanilla,very low
BAHAN,01/01/2021,FALSE,veryCold,strawberry,very low
ANI'AM,01/01/2021,FALSE,veryCold,strawberry,very low
AL SAYYID,01/01/2021,FALSE,veryCold,chocolate,very low
ATERET,02/01/2021,FALSE,veryCold,strawberry,very low
ABU QUREINAT,02/01/2021,FALSE,veryCold,oreo,very low
ATERET,02/01/2021,FALSE,veryCold,chocolate,very low
AR'ARA,02/01/2021,FALSE,veryCold,chocolate,very low
ALMAGOR,02/01/2021,FALSE,veryCold,vanilla,very low
AMMI'AD,02/01/2021,FALSE,veryCold,strawberry,very low
AGUR,02/01/2021,FALSE,veryCold,strawberry,very low
ARGAMAN,03/01/2021,FALSE,veryCold,vanilla,very low
BAR GIYYORA,03/01/2021,FALSE,veryCold,berries,very low
ALMAGOR,03/01/2021,FALSE,veryCold,vanilla,very low
ALUMMOT,03/01/2021,FALSE,veryCold,berries,very low
AZOR,03/01/2021,FALSE,veryCold,oreo,very low
AR'ARA,03/01/2021,FALSE,veryCold,strawberry,very low
AMMIHAY,03/01/2021,FALSE,veryCold,vanilla,very low
ATERET,03/01/2021,FALSE,veryCold,berries,very low
AR'ARA,03/01/2021,FALSE,veryCold,oreo,very low
ASHDOD,03/01/2021,FALSE,veryCold,strawberry,very low
AKKO,03/01/2021,FALSE,veryCold,oreo,very low
AMIRIM,03/01/2021,FALSE,veryCold,chocolate,very low
AMMI'AD,03/01/2021,FALSE,veryCold,vanilla,very low
AVI'EL,03/01/2021,FALSE,veryCold,oreo,very low
AVNE ETAN,04/01/2021,FALSE,veryCold,chocolate,very low
ALUMMOT,04/01/2021,FALSE,veryCold,chocolate,very low
AL-ARYAN,04/01/2021,FALSE,veryCold,oreo,very low
ATERET,04/01/2021,FALSE,veryCold,strawberry,very low
ALUMMOT,04/01/2021,FALSE,veryCold,oreo,very low
ASHDOD,04/01/2021,FALSE,veryCold,chocolate,very low
ALUMMA,05/01/2021,FALSE,veryCold,chocolate,very low
AHUZZAM,05/01/2021,FALSE,veryCold,chocolate,very low
ADAMIT,05/01/2021,FALSE,veryCold,berries,very low
ALMAGOR,05/01/2021,FALSE,veryCold,strawberry,very low
AMMI'AD,05/01/2021,FALSE,veryCold,berries,very low
ALMAGOR,06/01/2021,FALSE,veryCold,oreo,very low
ABU QUREINAT,06/01/2021,FALSE,veryCold,strawberry,very low
AMIRIM,06/01/2021,FALSE,veryCold,vanilla,very low
BAR GIYYORA,06/01/2021,FALSE,veryCold,chocolate,very low
ANI'AM,07/01/2021,FALSE,veryCold,vanilla,very low
BAR YOHAY,07/01/2021,FALSE,veryCold,strawberry,very low
ASHDOD,07/01/2021,FALSE,veryCold,berries,very low
ABU QUREINAT,07/01/2021,FALSE,veryCold,strawberry,very low
ALUMMOT,07/01/2021,FALSE,veryCold,vanilla,very low
AHUZZAM,07/01/2021,FALSE,veryCold,oreo,very low
AMIRIM,07/01/2021,FALSE,veryCold,berries,very low
